Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
01.01.2023,17.06.2023,FI,P0000,Product 0,VO,ORD000000,598.62,RUB,44,R00
02.01.2023,05.04.2023,RU,P0001,Product 1,VO,ORD000000,512.35,EUR,26,R01
03.01.2023,29.04.2023,ES,P0002,Product 2,VO,ORD000000,107.75,RUB,79,R02
04.01.2023,05.02.2023,IT,P0003,Product 3,VO,ORD000001,1315.51,GBP,28,R03
05.01.2023,26.02.2023,FR,P0004,Product 4,VO,ORD000001,132.8,RUB,40,R04
06.01.2023,09.05.2023,PL,P0005,Product 5,VO,ORD000001,1720.34,EUR,82,R05
07.01.2023,22.05.2023,DE,P0006,Product 6,VO,ORD000002,947.3,EUR,97,R06
08.01.2023,28.06.2023,SE,P0007,Product 7,VO,ORD000002,931.29,GBP,82,R07
09.01.2023,07.04.2023,DE,P0008,Product 8,VO,ORD000002,1381.85,RUB,90,R08
10.01.2023,05.07.2023,FR,P0009,Product 9,VO,ORD000003,450.42,GBP,4,R09
11.01.2023,01.06.2023,FI,P0010,Product 10,VO,ORD000003,954.04,EUR,12,R10
12.01.2023,16.06.2023,DE,P0011,Product 11,VO,ORD000003,613.3,USD,40,R11
13.01.2023,15.06.2023,DE,P0012,Product 12,VO,ORD000004,1281.27,RUB,58,R12
14.01.2023,09.03.2023,SE,P0013,Product 13,VO,ORD000004,373.63,USD,94,R13
15.01.2023,06.04.2023,NL,P0014,Product 14,VO,ORD000004,1198.9,GBP,44,R14
16.01.2023,23.03.2023,PL,P0015,Product 15,VO,ORD000005,1311.64,USD,57,R15
17.01.2023,10.03.2023,ES,P0016,Product 16,VO,ORD000005,1931.61,USD,37,R16
18.01.2023,23.06.2023,FI,P0017,Product 17,VO,ORD000005,1290.57,GBP,29,R17
19.01.2023,03.03.2023,NL,P0018,Product 18,VO,ORD000006,108.18,GBP,70,R18
20.01.2023,01.06.2023,NL,P0019,Product 19,VO,ORD000006,1343.02,USD,2,R19
21.01.2023,02.05.2023,NL,P0020,Product 20,VO,ORD000006,1771.71,EUR,19,R20
22.01.2023,29.03.2023,FR,P0021,Product 21,VO,ORD000007,1066.03,RUB,24,R21
23.01.2023,17.03.2023,FR,P0022,Product 22,VO,ORD000007,1302.85,GBP,27,R22
24.01.2023,09.07.2023,PL,P0023,Product 23,VO,ORD000007,812.57,RUB,29,R23
25.01.2023,28.04.2023,US,P0024,Product 24,VO,ORD000008,1853.33,GBP,26,R24
26.01.2023,20.07.2023,DE,P0025,Product 25,VO,ORD000008,1234.89,GBP,50,R25
27.01.2023,25.06.2023,IT,P0026,Product 26,VO,ORD000008,558.37,RUB,11,R26
28.01.2023,25.07.2023,US,P0027,Product 27,VO,ORD000009,236.3,GBP,68,R27
29.01.2023,19.05.2023,DE,P0028,Product 28,VO,ORD000009,1804.57,GBP,90,R28
30.01.2023,08.07.2023,SE,P0029,Product 29,VO,ORD000009,1650.39,EUR,75,R29
31.01.2023,02.06.2023,PL,P0030,Product 30,VO,ORD000010,1960.83,RUB,22,R30
01.02.2023,11.07.2023,FI,P0031,Product 31,VO,ORD000010,288.47,RUB,30,R31
02.02.2023,30.05.2023,IT,P0032,Product 32,VO,ORD000010,905.99,EUR,63,R32
03.02.2023,30.03.2023,DE,P0033,Product 33,VO,ORD000011,569.08,GBP,65,R33
04.02.2023,07.07.2023,DE,P0034,Product 34,VO,ORD000011,1960.65,GBP,66,R34
05.02.2023,31.07.2023,NL,P0035,Product 35,VO,ORD000011,974.09,EUR,1,R35
06.02.2023,26.04.2023,IT,P0036,Product 36,VO,ORD000012,179.06,RUB,69,R36
07.02.2023,04.04.2023,PL,P0037,Product 37,VO,ORD000012,826.04,USD,57,R37
08.02.2023,25.06.2023,NL,P0038,Product 38,VO,ORD000012,916.26,USD,54,R38
09.02.2023,08.06.2023,SE,P0039,Product 39,VO,ORD000013,651.44,RUB,53,R39
10.02.2023,12.07.2023,SE,P0040,Product 40,VO,ORD000013,628.64,GBP,10,R40
11.02.2023,13.05.2023,NL,P0041,Product 41,VO,ORD000013,642.42,RUB,98,R41
12.02.2023,22.05.2023,ES,P0042,Product 42,VO,ORD000014,1932.42,EUR,77,R42
13.02.2023,21.04.2023,DE,P0043,Product 43,VO,ORD000014,243.39,GBP,48,R43
14.02.2023,21.03.2023,FI,P0044,Product 44,VO,ORD000014,502.75,RUB,65,R44
15.02.2023,04.06.2023,IT,P0045,Product 45,VO,ORD000015,1266.32,GBP,96,R45
16.02.2023,09.04.2023,FI,P0046,Product 46,VO,ORD000015,1529.34,RUB,22,R46
17.02.2023,22.04.2023,FR,P0047,Product 47,VO,ORD000015,1234.41,GBP,7,R47
18.02.2023,20.07.2023,NL,P0048,Product 48,VO,ORD000016,1040.83,GBP,3,R48
19.02.2023,23.04.2023,DE,P0049,Product 49,VO,ORD000016,1150.89,USD,77,R49
20.02.2023,12.05.2023,IT,P0050,Product 50,VO,ORD000016,457.28,RUB,70,R00
21.02.2023,29.05.2023,ES,P0051,Product 51,VO,ORD000017,1583.32,USD,78,R01
22.02.2023,28.06.2023,ES,P0052,Product 52,VO,ORD000017,1924.72,GBP,81,R02
23.02.2023,22.06.2023,SE,P0053,Product 53,VO,ORD000017,1758.46,GBP,53,R03
24.02.2023,06.08.2023,FR,P0054,Product 54,VO,ORD000018,788.91,USD,72,R04
